prefecture,hospital,hotel,home,nowhere
01 北海道,872,687,2607,772
02 青森県,110,138,141,240
03 岩手県,207,124,0,14
04 宮城県 ,302,706,427,589
05 秋田県 ,107,113,0,87
06 山形県 ,123,61,206,39
07 福島県 ,346,122,497,82
08 茨城県 ,470,255,1797,0
09 栃木県,284,170,1307,296
10 群馬県,367,430,0,1764
11 埼玉県 ,1274,628,－,－
12 千葉県 ,1088,408,10560,1788
13 東京都 ,4154,2025,25139,10050
14 神奈川県,1693,671,15222,938
15 新潟県,220,58,642,11
16 富山県 ,258,116,720,0
17 石川県,217,141,222,160
18 福井県 ,196,70,0,0
19 山梨県 ,242,474,0,0
20 長野県 ,227,268,333,204
21 岐阜県 ,477,975,339,719
22 静岡県,399,265,3126,1214
23 愛知県,745,380,9344,1620
24 三重県 ,278,68,3156,0
25 滋賀県,352,239,1554,82
26 京都府 ,435,314,5647,8
27 大阪府 ,2128,2853,14732,1962
28 兵庫県 ,838,706,4244,1646
29 奈良県 ,285,559,0,725
30 和歌山県 ,518,0,0,0
31 鳥取県,97,54,65,31
32 島根県,170,12,18,53
33 岡山県,240,310,1311,32
34 広島県,366,1230,538,473
35 山口県,318,200,48,226
36 徳島県,130,232,44,0
37 香川県,140,101,124,473
38 愛媛県 ,107,96,508,27
39 高知県 ,97,118,439,4
40 福岡県,996,1507,7991,392
41 佐賀県 ,233,270,520,0
42 長崎県,199,167,435,0
43 熊本県,361,374,908,556
44 大分県,232,466,239,626
45 宮崎県,116,194,511,265
46 鹿児島県 ,397,280,0,1216
47 沖縄県,836,302,2568,2778
