広域_ID,広域_名称,基礎_ID,基礎_名称,人口（男女総数）,人口（男性）,人口（女性）,2015年（平成27年）の人口（組替）（人）,5年間の人口増減数（人）,5年間の人口増減率（％）,人口性比,面積（km2）,人口密度（1km2当たり）,世帯数（世帯）,2015年（平成27年）の世帯数（組替）（世帯）,5年間の世帯増減数（世帯）,5年間の世帯増減率（％）
01,北海道,01100,札幌市,1975065.0,918738.0,1056327.0,1952356.0,22709.0,1.16316,86.97477,1121.26,1761.5,966009.0,921837.0,44172.0,4.79174
01,北海道,01101,札幌市中央区,248840.0,112806.0,136034.0,237627.0,11213.0,4.71874,82.92486,46.42,5360.6,140898.0,132006.0,8892.0,6.73606
01,北海道,01102,札幌市北区,289667.0,136651.0,153016.0,285321.0,4346.0,1.5232,89.30504,63.57,4556.7,139019.0,133662.0,5357.0,4.00787
01,北海道,01103,札幌市東区,265536.0,125980.0,139556.0,261912.0,3624.0,1.38367,90.27201,56.97,4661.0,131156.0,124425.0,6731.0,5.40968
01,北海道,01104,札幌市白石区,212001.0,100071.0,111930.0,209584.0,2417.0,1.15324,89.40499,34.47,6150.3,107667.0,104608.0,3059.0,2.92425
01,北海道,01105,札幌市豊平区,225482.0,104183.0,121299.0,218652.0,6830.0,3.12369,85.88941,46.23,4877.4,118256.0,110171.0,8085.0,7.33859
01,北海道,01106,札幌市南区,135966.0,62379.0,73587.0,141190.0,-5224.0,-3.69998,84.76905,657.48,206.8,62013.0,61291.0,722.0,1.17799
01,北海道,01107,札幌市西区,217230.0,100077.0,117153.0,213578.0,3652.0,1.70991,85.42419,75.1,2892.5,103480.0,97750.0,5730.0,5.86189
01,北海道,01108,札幌市厚別区,125182.0,56741.0,68441.0,127767.0,-2585.0,-2.02321,82.90498,24.38,5134.6,57208.0,55585.0,1623.0,2.91985
01,北海道,01109,札幌市手稲区,142712.0,66918.0,75794.0,140999.0,1713.0,1.2149,88.28931,56.77,2513.9,60775.0,57333.0,3442.0,6.00352
01,北海道,01110,札幌市清田区,112449.0,52932.0,59517.0,115726.0,-3277.0,-2.83169,88.93593,59.87,1878.2,45537.0,45006.0,531.0,1.17984
01,北海道,01202,函館市,251271.0,113972.0,137299.0,265979.0,-14708.0,-5.52976,83.01007,677.87,370.7,121570.0,123950.0,-2380.0,-1.92013
01,北海道,01203,小樽市,111422.0,50148.0,61274.0,121924.0,-10502.0,-8.61356,81.84222,243.83,457.0,52704.0,55466.0,-2762.0,-4.97963
01,北海道,01204,旭川市,329513.0,152162.0,177351.0,339605.0,-10092.0,-2.97169,85.79709,747.66,440.7,156185.0,155747.0,438.0,0.28123
01,北海道,01205,室蘭市,82457.0,40403.0,42054.0,88564.0,-6107.0,-6.89558,96.0741,81.01,1017.9,41496.0,43616.0,-2120.0,-4.8606
01,北海道,01206,釧路市,165230.0,77512.0,87718.0,174742.0,-9512.0,-5.44345,88.36499,1363.29,121.2,80161.0,82078.0,-1917.0,-2.33558
01,北海道,01207,帯広市,166690.0,79642.0,87048.0,169327.0,-2637.0,-1.55734,91.49205,619.34,269.1,80104.0,77707.0,2397.0,3.08466
01,北海道,01208,北見市,115608.0,54742.0,60866.0,121226.0,-5618.0,-4.63432,89.93855,1427.41,81.0,55070.0,56202.0,-1132.0,-2.01416
01,北海道,01209,夕張市,7341.0,3385.0,3956.0,8843.0,-1502.0,-16.98519,85.56623,763.07,9.6,3814.0,4539.0,-725.0,-15.97268
01,北海道,01210,岩見沢市,79424.0,37138.0,42286.0,84499.0,-5075.0,-6.00599,87.82576,481.02,165.1,35381.0,36155.0,-774.0,-2.14078
01,北海道,01211,網走市,35783.0,18065.0,17718.0,39077.0,-3294.0,-8.42951,101.95846,471.0,76.0,17241.0,18035.0,-794.0,-4.40255
01,北海道,01212,留萌市,20123.0,9653.0,10470.0,22221.0,-2098.0,-9.44152,92.19675,297.84,67.6,9795.0,10402.0,-607.0,-5.83542
01,北海道,01213,苫小牧市,170234.0,83561.0,86673.0,172737.0,-2503.0,-1.44902,96.40949,561.57,303.1,79994.0,78298.0,1696.0,2.16608
01,北海道,01214,稚内市,33584.0,16645.0,16939.0,36380.0,-2796.0,-7.68554,98.26436,761.47,44.1,16053.0,16486.0,-433.0,-2.62647
01,北海道,01215,美唄市,20430.0,9568.0,10862.0,23035.0,-2605.0,-11.30888,88.08691,277.69,73.6,9401.0,10173.0,-772.0,-7.58872
01,北海道,01216,芦別市,12578.0,5768.0,6810.0,14676.0,-2098.0,-14.29545,84.69897,865.04,14.5,6048.0,6862.0,-814.0,-11.86243
01,北海道,01217,江別市,121145.0,57544.0,63601.0,120636.0,509.0,0.42193,90.47656,187.38,646.5,53925.0,51983.0,1942.0,3.73584
01,北海道,01218,赤平市,9707.0,4389.0,5318.0,11105.0,-1398.0,-12.58892,82.53103,129.88,74.7,4491.0,4980.0,-489.0,-9.81928
01,北海道,01219,紋別市,21224.0,9905.0,11319.0,23109.0,-1885.0,-8.157,87.50773,830.67,25.6,11213.0,11127.0,86.0,0.77289
01,北海道,01220,士別市,17872.0,8421.0,9451.0,19914.0,-2042.0,-10.25409,89.10168,1119.22,16.0,8180.0,8650.0,-470.0,-5.43353
01,北海道,01221,名寄市,27289.0,13321.0,13968.0,29048.0,-1759.0,-6.05549,95.36798,535.2,51.0,12789.0,13086.0,-297.0,-2.2696
01,北海道,01222,三笠市,8038.0,3630.0,4408.0,9076.0,-1038.0,-11.43676,82.35027,302.52,26.6,3825.0,4254.0,-429.0,-10.08463
01,北海道,01223,根室市,24669.0,11765.0,12904.0,26917.0,-2248.0,-8.3516,91.17328,506.25,60.0,11156.0,11383.0,-227.0,-1.9942
01,北海道,01224,千歳市,98019.0,49794.0,48225.0,95648.0,2371.0,2.47888,103.2535,594.5,164.9,43712.0,40638.0,3074.0,7.56435
01,北海道,01225,滝川市,39533.0,18832.0,20701.0,41192.0,-1659.0,-4.02748,90.97145,115.9,341.1,18695.0,18651.0,44.0,0.23591
01,北海道,01226,砂川市,16506.0,7610.0,8896.0,17694.0,-1188.0,-6.71414,85.54406,78.68,209.8,7593.0,7858.0,-265.0,-3.37236
01,北海道,01227,歌志内市,2989.0,1399.0,1590.0,3585.0,-596.0,-16.62483,87.98742,55.95,53.4,1423.0,1665.0,-242.0,-14.53453
01,北海道,01228,深川市,20062.0,9365.0,10697.0,21909.0,-1847.0,-8.43033,87.54791,529.42,37.9,9188.0,9669.0,-481.0,-4.97466
01,北海道,01229,富良野市,21156.0,9950.0,11206.0,22936.0,-1780.0,-7.76073,88.79172,600.71,35.2,9561.0,9929.0,-368.0,-3.70631
01,北海道,01230,登別市,46447.0,22158.0,24289.0,49625.0,-3178.0,-6.40403,91.22648,212.21,218.9,20927.0,21681.0,-754.0,-3.4777
01,北海道,01231,恵庭市,70378.0,34094.0,36284.0,69702.0,676.0,0.96984,93.96428,294.65,238.9,30133.0,28846.0,1287.0,4.46162
01,北海道,01233,伊達市,32857.0,15171.0,17686.0,34995.0,-2138.0,-6.10944,85.77971,444.21,74.0,14846.0,15054.0,-208.0,-1.38169
01,北海道,01234,北広島市,58234.0,27776.0,30458.0,59064.0,-830.0,-1.40526,91.19443,119.05,489.2,24621.0,23551.0,1070.0,4.54333
01,北海道,01235,石狩市,56934.0,27331.0,29603.0,57436.0,-502.0,-0.87402,92.3251,722.42,78.8,23055.0,22632.0,423.0,1.86903
01,北海道,01236,北斗市,44331.0,20548.0,23783.0,46390.0,-2059.0,-4.43846,86.39785,397.44,111.5,18110.0,18508.0,-398.0,-2.15042
01,北海道,01303,当別町,15921.0,7705.0,8216.0,17278.0,-1357.0,-7.85392,93.78043,422.86,37.7,7270.0,7327.0,-57.0,-0.77794
01,北海道,01304,新篠津村,3046.0,1484.0,1562.0,3329.0,-283.0,-8.50105,95.0064,78.04,39.0,1052.0,1070.0,-18.0,-1.68224
01,北海道,01331,松前町,6260.0,2803.0,3457.0,7337.0,-1077.0,-14.67902,81.08186,293.25,21.3,3196.0,3571.0,-375.0,-10.50126
01,北海道,01332,福島町,3794.0,1755.0,2039.0,4422.0,-628.0,-14.20172,86.0716,187.25,20.3,1858.0,2039.0,-181.0,-8.8769
01,北海道,01333,知内町,4167.0,2058.0,2109.0,4653.0,-486.0,-10.44487,97.58179,196.75,21.2,1866.0,2003.0,-137.0,-6.83974
01,北海道,01334,木古内町,3836.0,1753.0,2083.0,4547.0,-711.0,-15.63668,84.15747,221.87,17.3,1870.0,2140.0,-270.0,-12.61682
01,北海道,01337,七飯町,27707.0,12677.0,15030.0,28120.0,-413.0,-1.46871,84.34464,216.75,127.8,11518.0,11141.0,377.0,3.3839
01,北海道,01343,鹿部町,3762.0,1785.0,1977.0,4226.0,-464.0,-10.97965,90.28832,110.63,34.0,1618.0,1660.0,-42.0,-2.53012
01,北海道,01345,森町,14343.0,6662.0,7681.0,15946.0,-1603.0,-10.05268,86.7335,368.79,38.9,6331.0,6628.0,-297.0,-4.48099
01,北海道,01346,八雲町,15844.0,7905.0,7939.0,17252.0,-1408.0,-8.16137,99.57173,956.08,16.6,7492.0,7523.0,-31.0,-0.41207
01,北海道,01347,長万部町,5113.0,2448.0,2665.0,5926.0,-813.0,-13.7192,91.85741,310.76,16.5,2450.0,2685.0,-235.0,-8.75233
01,北海道,01361,江差町,7435.0,3563.0,3872.0,8248.0,-813.0,-9.85694,92.01963,109.48,67.9,3522.0,3752.0,-230.0,-6.13006
01,北海道,01362,上ノ国町,4308.0,1963.0,2345.0,4876.0,-568.0,-11.64889,83.71002,547.71,7.9,2053.0,2173.0,-120.0,-5.52232
01,北海道,01363,厚沢部町,3593.0,1719.0,1874.0,4049.0,-456.0,-11.26204,91.72892,460.58,7.8,1645.0,1765.0,-120.0,-6.79887
01,北海道,01364,乙部町,3406.0,1539.0,1867.0,3906.0,-500.0,-12.80082,82.43171,162.59,20.9,1596.0,1729.0,-133.0,-7.69231
01,北海道,01367,奥尻町,2412.0,1280.0,1132.0,2690.0,-278.0,-10.33457,113.0742,142.99,16.9,1219.0,1270.0,-51.0,-4.01575
01,北海道,01370,今金町,5076.0,2448.0,2628.0,5628.0,-552.0,-9.8081,93.15068,568.25,8.9,2172.0,2280.0,-108.0,-4.73684
01,北海道,01371,せたな町,7405.0,3466.0,3939.0,8473.0,-1068.0,-12.60474,87.99188,638.68,11.6,3534.0,3862.0,-328.0,-8.49301
01,北海道,01391,島牧村,1352.0,686.0,666.0,1499.0,-147.0,-9.80654,103.003,437.18,3.1,625.0,661.0,-36.0,-5.44629
01,北海道,01392,寿都町,2837.0,1395.0,1442.0,3137.0,-300.0,-9.56328,96.74064,95.25,29.8,1338.0,1420.0,-82.0,-5.77465
01,北海道,01393,黒松内町,2793.0,1351.0,1442.0,3082.0,-289.0,-9.37703,93.68932,345.65,8.1,1307.0,1336.0,-29.0,-2.17066
01,北海道,01394,蘭越町,4573.0,2197.0,2376.0,4843.0,-270.0,-5.57506,92.46633,449.78,10.2,2098.0,2086.0,12.0,0.57526
01,北海道,01395,ニセコ町,5077.0,2622.0,2455.0,4958.0,119.0,2.40016,106.80244,197.13,25.8,2511.0,2274.0,237.0,10.42216
01,北海道,01396,真狩村,2046.0,1036.0,1010.0,2103.0,-57.0,-2.71041,102.57426,114.25,17.9,903.0,855.0,48.0,5.61404
01,北海道,01397,留寿都村,1909.0,972.0,937.0,1907.0,2.0,0.10488,103.73533,119.84,15.9,970.0,915.0,55.0,6.01093
01,北海道,01398,喜茂別町,2155.0,1114.0,1041.0,2294.0,-139.0,-6.05929,107.01249,189.41,11.4,1129.0,1123.0,6.0,0.53428
01,北海道,01399,京極町,2942.0,1420.0,1522.0,3187.0,-245.0,-7.68748,93.29829,231.49,12.7,1259.0,1281.0,-22.0,-1.71741
01,北海道,01400,倶知安町,15137.0,7788.0,7349.0,15018.0,119.0,0.79238,105.9736,261.34,57.9,7609.0,6974.0,635.0,9.10525
01,北海道,01401,共和町,5775.0,3047.0,2728.0,6224.0,-449.0,-7.21401,111.69355,304.92,18.9,2735.0,2854.0,-119.0,-4.16959
01,北海道,01402,岩内町,11654.0,5506.0,6148.0,13042.0,-1388.0,-10.64254,89.55758,70.6,165.1,5746.0,6228.0,-482.0,-7.73924
01,北海道,01403,泊村,1572.0,785.0,787.0,1771.0,-199.0,-11.23659,99.74587,82.27,19.1,812.0,886.0,-74.0,-8.35214
01,北海道,01404,神恵内村,870.0,398.0,472.0,1004.0,-134.0,-13.34661,84.32203,147.79,5.9,400.0,434.0,-34.0,-7.8341
01,北海道,01405,積丹町,1831.0,855.0,976.0,2115.0,-284.0,-13.4279,87.60246,238.13,7.7,884.0,994.0,-110.0,-11.0664
01,北海道,01406,古平町,2755.0,1306.0,1449.0,3188.0,-433.0,-13.58218,90.13112,188.36,14.6,1248.0,1446.0,-198.0,-13.69295
01,北海道,01407,仁木町,3182.0,1524.0,1658.0,3498.0,-316.0,-9.03373,91.91797,167.96,18.9,1332.0,1480.0,-148.0,-10.0
01,北海道,01408,余市町,18012.0,8340.0,9672.0,19607.0,-1595.0,-8.13485,86.22829,140.59,128.1,8272.0,8769.0,-497.0,-5.66769
01,北海道,01409,赤井川村,1165.0,605.0,560.0,1121.0,44.0,3.92507,108.03571,280.09,4.2,621.0,534.0,87.0,16.29213
01,北海道,01423,南幌町,7328.0,3463.0,3865.0,7927.0,-599.0,-7.55645,89.59897,81.36,90.1,2946.0,2973.0,-27.0,-0.90817
01,北海道,01424,奈井江町,5122.0,2405.0,2717.0,5674.0,-552.0,-9.72859,88.51675,88.19,58.1,2320.0,2466.0,-146.0,-5.92052
01,北海道,01425,上砂川町,2847.0,1290.0,1557.0,3479.0,-632.0,-18.16614,82.85164,39.98,71.2,1485.0,1744.0,-259.0,-14.85092
01,北海道,01427,由仁町,4818.0,2299.0,2519.0,5314.0,-496.0,-9.33384,91.26638,133.74,36.0,2061.0,2149.0,-88.0,-4.09493
01,北海道,01428,長沼町,10300.0,4926.0,5374.0,11076.0,-776.0,-7.00614,91.66357,168.52,61.1,4089.0,4257.0,-168.0,-3.94644
01,北海道,01429,栗山町,11262.0,5167.0,6095.0,12344.0,-1082.0,-8.76539,84.77441,203.93,55.2,4958.0,5186.0,-228.0,-4.39645
01,北海道,01430,月形町,3692.0,2185.0,1507.0,4577.0,-885.0,-19.33581,144.99005,150.4,24.5,1324.0,1466.0,-142.0,-9.68622
01,北海道,01431,浦臼町,1725.0,837.0,888.0,1985.0,-260.0,-13.09824,94.25676,101.83,16.9,783.0,850.0,-67.0,-7.88235
01,北海道,01432,新十津川町,6486.0,2972.0,3514.0,6831.0,-345.0,-5.05051,84.57598,495.47,13.1,2537.0,2570.0,-33.0,-1.28405
01,北海道,01433,妹背牛町,2696.0,1290.0,1406.0,3091.0,-395.0,-12.77904,91.74964,48.64,55.4,1257.0,1269.0,-12.0,-0.94563
01,北海道,01434,秩父別町,2330.0,1072.0,1258.0,2513.0,-183.0,-7.28213,85.21463,47.18,49.4,982.0,1017.0,-35.0,-3.44149
01,北海道,01436,雨竜町,2392.0,1166.0,1226.0,2749.0,-357.0,-12.98654,95.10604,191.15,12.5,926.0,1005.0,-79.0,-7.8607
01,北海道,01437,北竜町,1711.0,822.0,889.0,1981.0,-270.0,-13.62948,92.46344,158.7,10.8,748.0,782.0,-34.0,-4.34783
01,北海道,01438,沼田町,2903.0,1389.0,1514.0,3181.0,-278.0,-8.73939,91.74373,283.35,10.2,1241.0,1333.0,-92.0,-6.90173
01,北海道,01452,鷹栖町,6572.0,3107.0,3465.0,7018.0,-446.0,-6.35509,89.66811,139.42,47.1,2657.0,2717.0,-60.0,-2.20832
01,北海道,01453,東神楽町,10141.0,4703.0,5438.0,10233.0,-92.0,-0.89905,86.484,68.5,148.0,3841.0,3657.0,184.0,5.03145
