行政区域コード,公共施設大分類,公共施設小分類,名称,所在地,管理者コード,原典資料名,Lon,Lat
13101,3,3001,ニューオータニ美術館,紀尾井町4-1,4,数値地図画像,139.73487173,35.68117544
13101,3,3001,宮内庁三の丸尚蔵館,千代田1-1,1,数値地図画像,136.91036752,35.16083215
13101,3,3001,山種美術館,三番町2,4,数値地図,132.77130477,33.83817398
13101,3,3001,出光美術館,丸の内3-1-1,4,数値地図,139.76090303,35.67668492
13101,3,3001,独立行政法人国立美術館・東京国立近代美術館,北の丸公園3-1,0,数値地図画像,139.75464194,35.69054158
13101,3,3001,独立行政法人国立美術館・東京国立近代美術館工芸館,北の丸公園1-1,0,数値地図画像,139.74949505,35.69242180
13102,3,3001,ブリヂストン美術館,京橋1-10-1,4,数値地図,
13102,3,3001,三井記念美術館,日本橋室町2-1-1,4,数値地図画像,139.77292143,35.68639254
13102,3,3001,独立行政法人国立美術館・東京国立近代美術館フィルムセンター,京橋3-7-6,0,数値地図画像,139.77066337,35.67549364
13103,3,3001,サントリー美術館,元赤坂1-2-3,4,数値地図画像,
13103,3,3001,菊池寛実記念智美術館,虎ノ門4-1-35,4,数値地図画像,139.74443538,35.66606344
13103,3,3001,吉田苞竹記念会館,麻布台1-1-12,4,数値地図画像,139.74030534,35.66227209
13103,3,3001,根津美術館,南青山6-5-1,4,数値地図,139.71754348,35.66213825
13103,3,3001,松岡美術館,白金台5-12-6,4,数値地図画像,139.72180225,35.63995470
13103,3,3001,松下電工汐留ミュージアム,東新橋1-5-1,4,数値地図画像,139.76186447,35.66588335
13103,3,3001,森美術館,六本木6-10-1,4,数値地図画像,139.72924805,35.66041647
13103,3,3001,泉屋博古館分館,六本木1-5-1,4,数値地図画像,139.74131904,35.66491627
13103,3,3001,草月美術館,赤坂7-2-21,4,数値地図画像,139.72922807,35.67412886
13103,3,3001,大倉集古館,虎ノ門2-10-3,4,数値地図,139.74325490,35.66699109
13103,3,3001,東京都庭園美術館,白金台5-21-9,4,数値地図,139.71938035,35.63685779
13103,3,3001,畠山記念館,白金台2-20-12,4,数値地図,139.72690203,35.63233067
13104,3,3001,佐藤美術館,大京町31-10,4,数値地図画像,139.71497903,35.68174159
13104,3,3001,新宿美術館,新宿1-34-3,4,数値地図画像,139.71077349,35.69110710
13104,3,3001,早稲田大学會津八一記念博物館,西早稲田1-6-1,4,数値地図画像,139.71907205,35.70914975
13104,3,3001,損保ジャパン東郷青児美術館,西新宿1-26-1,4,数値地図,139.69615250,35.69268433
13104,3,3001,東京オペラシティアートギャラリー,西新宿3-20-2,4,数値地図画像,139.68685370,35.68293798
13104,3,3001,明治神宮聖徳記念絵画館,霞ケ丘9,4,数値地図,139.71620402,35.67934744
13105,3,3001,センチュリーミュージアム,本郷2-2-9,4,数値地図,139.75956608,35.70210156
13105,3,3001,永青文庫,目白台1-1-1,4,数値地図,
13105,3,3001,講談社野間記念館,関口2-11-30,4,数値地図画像,139.72500747,35.71402992
13105,3,3001,弥生美術館・竹久夢二美術館,弥生2-4-3・弥生2-4-2,4,数値地図画像,139.76346258,35.71492537
13106,3,3001,横山大観記念館,池之端1-4-24,4,数値地図,139.76815687,35.71216747
13106,3,3001,国立西洋美術館,上野公園7-7,0,数値地図,139.77589247,35.71533133
13106,3,3001,上野の森美術館,上野公園1-2,4,数値地図,139.77474820,35.71271209
13106,3,3001,台東区立書道博物館,根岸2-10-4,3,数値地図画像,139.77646718,35.72471115
13106,3,3001,台東区立朝倉彫塑館,谷中7-18-10,3,数値地図画像,139.76853986,35.72690509
13106,3,3001,大名時計博物館,谷中2-1-27,4,数値地図,139.76606788,35.72141378
13106,3,3001,東京国立博物館,上野公園13-9,0,数値地図,139.77606456,35.71852828
13106,3,3001,東京都美術館,上野公園8-36,4,数値地図,139.77278983,35.71721720
13106,3,3001,東京藝術大学大学美術館,上野公園12-8,0,数値地図画像,139.77283420,35.71961421
13108,3,3001,東京都現代美術館,三好4-1-1,2,数値地図,139.80799467,35.67972464
13109,3,3001,Ｏ美術館,大崎1-6-2,3,数値地図画像,139.72912446,35.62093763
13109,3,3001,久米美術館,上大崎2-25-5,4,数値地図画像,139.71464195,35.63460241
13109,3,3001,原美術館,北品川4-7-25,4,数値地図,139.73589052,35.62182381
13110,3,3001,長泉院附属現代彫刻美術館,中目黒4-12-18,4,数値地図,139.70308737,35.63595760
13110,3,3001,東京大学大学院総合文化研究科教養学部美術博物館,駒場3-8-1,0,数値地図画像,139.68461032,35.65989611
13110,3,3001,東京都写真美術館,三田1-13-1,2,数値地図画像,139.73943630,35.65287031
13110,3,3001,東京都立芸術高等学校美術館,大橋2-18-58,2,数値地図画像,139.68412444,35.65450782
13110,3,3001,日本民藝館,駒場4-3-33,4,数値地図,139.67929408,35.66081810
13110,3,3001,目黒区美術館,目黒2-4-36,4,数値地図画像,139.70785920,35.63545220
13111,3,3001,大田区立龍子記念館,中央4-2-1,3,数値地図画像,140.87930748,38.25819908
13111,3,3001,池上本門寺霊寶殿,池上1-1-1,4,数値地図画像,139.70540302,35.57979756
13112,3,3001,五島美術館,上野毛3-9-25,4,数値地図,139.63558583,35.61221464
13112,3,3001,世田谷美術館,砧公園1-2,3,数値地図画像,139.62185562,35.63177022
