所管,組織,項目1,項目2,令和3年度要求額(千円)
皇室費,皇室費,内廷費,(内廷費),324000.0
皇室費,皇室費,宮廷費,諸謝金,31376.0
皇室費,皇室費,宮廷費,報償費,311476.0
皇室費,皇室費,宮廷費,庁費,2461893.0
皇室費,皇室費,宮廷費,各所修繕,1462993.0
皇室費,皇室費,宮廷費,招宴費,88140.0
皇室費,皇室費,宮廷費,自動車重量税,1400.0
皇室費,皇室費,宮廷費,施設整備費,7426797.0
皇室費,皇室費,宮廷費,交際費,44088.0
皇室費,皇室費,皇族費,(皇族費),269315.0
国会,衆議院,衆議院,議員歳費,1.0042407E7
国会,衆議院,衆議院,職員基本給,8749473.0
国会,衆議院,衆議院,職員諸手当,4507807.0
国会,衆議院,衆議院,超過勤務手当,1480431.0
国会,衆議院,衆議院,議員秘書手当,1.2598678E7
国会,衆議院,衆議院,非常勤職員手当,248736.0
国会,衆議院,衆議院,休職者給与,31370.0
国会,衆議院,衆議院,短時間勤務職員給与,157585.0
国会,衆議院,衆議院,公務災害補償費,11082.0
国会,衆議院,衆議院,退職手当,1906610.0
国会,衆議院,衆議院,議員秘書退職手当,1353725.0
国会,衆議院,衆議院,弔慰金,41408.0
国会,衆議院,衆議院,児童手当,71440.0
国会,衆議院,衆議院,諸謝金,6327.0
国会,衆議院,衆議院,議員旅費,316429.0
国会,衆議院,衆議院,議員文書通信交通滞在費,5718000.0
国会,衆議院,衆議院,議会雑費,29700.0
国会,衆議院,衆議院,職員旅費,147070.0
国会,衆議院,衆議院,赴任旅費,2437.0
国会,衆議院,衆議院,委員等旅費,2517.0
国会,衆議院,衆議院,証人等旅費,9494.0
国会,衆議院,衆議院,庁費,1002290.0
国会,衆議院,衆議院,情報処理業務庁費,2151755.0
国会,衆議院,衆議院,議員会館管理等運営庁費,3689817.0
国会,衆議院,衆議院,議員特殊乗車券等購入費,911955.0
国会,衆議院,衆議院,国会活動啓発費,23026.0
国会,衆議院,衆議院,議案類印刷費,558952.0
国会,衆議院,衆議院,招へい外国人滞在費,73594.0
国会,衆議院,衆議院,各所修繕,76401.0
国会,衆議院,衆議院,国政調査活動費,359347.0
国会,衆議院,衆議院,公共施設等維持管理運営費,3372516.0
国会,衆議院,衆議院,自動車重量税,1086.0
国会,衆議院,衆議院,立法事務費,3627000.0
国会,衆議院,衆議院,国家公務員共済組合負担金,2292438.0
国会,衆議院,衆議院,基礎年金等国家公務員共済組合負担金,575305.0
国会,衆議院,衆議院,育児休業手当金国家公務員共済組合負担金,716.0
国会,衆議院,衆議院,国有資産所在市町村交付金,509871.0
国会,衆議院,衆議院,列国議会同盟分担金,105994.0
国会,衆議院,衆議院,交際費,59138.0
国会,衆議院,衆議院,賠償償還及払戻金,2467.0
国会,衆議院,衆議院施設費,施設施工旅費,694.0
国会,衆議院,衆議院施設費,施設施工庁費,75211.0
国会,衆議院,衆議院施設費,施設整備費,1614296.0
国会,衆議院,衆議院施設費,不動産購入費,596205.0
国会,衆議院,衆議院予備経費,(国会予備経費),7000.0
国会,参議院,参議院,議員歳費,5300350.0
国会,参議院,参議院,職員基本給,6510292.0
国会,参議院,参議院,職員諸手当,3342103.0
