主管,部,款,項,目,令和3年度予算額(千円)
国会,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,1183741.0
国会,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,764801.0
国会,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,40006.0
国会,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,425.0
国会,雑収入,諸収入,弁償及返納金,弁償及違約金,100.0
国会,雑収入,諸収入,弁償及返納金,返納金,21463.0
国会,雑収入,諸収入,物品売払収入,不用物品売払代,8734.0
国会,雑収入,諸収入,雑入,労働保険料被保険者負担金,2189.0
国会,雑収入,諸収入,雑入,延滞金,1.0
国会,雑収入,諸収入,雑入,雑収,228519.0
裁判所,政府資産整理収入,回収金等収入,貸付金等回収金収入,修習資金貸与金償還金,1857702.0
裁判所,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,97136.0
裁判所,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,200969.0
裁判所,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,480285.0
裁判所,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,4320.0
裁判所,雑収入,納付金,法科大学院設置者納付金,法科大学院設置者納付金,49100.0
裁判所,雑収入,諸収入,許可及手数料,手数料,1621615.0
裁判所,雑収入,諸収入,懲罰及没収金,過料,127.0
裁判所,雑収入,諸収入,懲罰及没収金,没収金,284960.0
裁判所,雑収入,諸収入,弁償及返納金,弁償及違約金,63924.0
裁判所,雑収入,諸収入,弁償及返納金,返納金,52545.0
裁判所,雑収入,諸収入,物品売払収入,不用物品売払代,41735.0
裁判所,雑収入,諸収入,雑入,労働保険料被保険者負担金,16570.0
裁判所,雑収入,諸収入,雑入,小切手支払未済金収入,7.0
裁判所,雑収入,諸収入,雑入,延滞金,5337.0
裁判所,雑収入,諸収入,雑入,期満後収入,1853.0
裁判所,雑収入,諸収入,雑入,雑収,5.8644957E7
会計検査院,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,17.0
会計検査院,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,56.0
会計検査院,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,1047.0
会計検査院,雑収入,諸収入,弁償及返納金,弁償及違約金,5.0
会計検査院,雑収入,諸収入,弁償及返納金,返納金,1047.0
会計検査院,雑収入,諸収入,物品売払収入,不用物品売払代,1715.0
会計検査院,雑収入,諸収入,雑入,労働保険料被保険者負担金,1407.0
会計検査院,雑収入,諸収入,雑入,延滞金,1.0
会計検査院,雑収入,諸収入,雑入,雑収,494.0
内閣,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,26655.0
内閣,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1374.0
内閣,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,3535.0
内閣,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,626.0
内閣,雑収入,諸収入,弁償及返納金,弁償及違約金,189.0
内閣,雑収入,諸収入,弁償及返納金,返納金,747475.0
内閣,雑収入,諸収入,物品売払収入,不用物品売払代,1588.0
内閣,雑収入,諸収入,雑入,労働保険料被保険者負担金,2041.0
内閣,雑収入,諸収入,雑入,延滞金,3.0
内閣府,官業益金及官業収入,官業収入,病院収入,宮内庁病院収入,15650.0
内閣府,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,236711.0
内閣府,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,309.0
内閣府,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,1940.0
内閣府,政府資産整理収入,国有財産処分収入,国有財産売払収入,航空機売払代,156998.0
内閣府,政府資産整理収入,回収金等収入,貸付金等回収金収入,災害援護資金貸付金償還金,2298856.0
内閣府,政府資産整理収入,回収金等収入,東日本大震災復興放射性物質汚染対策緊急除染等事業費回収金収入,放射性物質汚染対策緊急除染等事業費回収金,3930776.0
内閣府,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,228941.0
内閣府,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,329337.0
内閣府,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,583067.0
内閣府,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,3190.0
内閣府,雑収入,国有財産利用収入,国有財産使用収入,入場料等収入,158196.0
内閣府,雑収入,国有財産利用収入,国有財産使用収入,公益認定等総合情報システム利用料収入,28194.0
内閣府,雑収入,納付金,雑納付金,公認会計士法違反者納付金,14590.0
内閣府,雑収入,納付金,雑納付金,価格協定等違反者納付金,1935737.0
内閣府,雑収入,納付金,雑納付金,金融商品取引法違反者納付金,935160.0
内閣府,雑収入,納付金,雑納付金,不当表示違反者納付金,311101.0
内閣府,雑収入,納付金,雑納付金,独立行政法人国立公文書館納付金,8718.0
内閣府,雑収入,納付金,雑納付金,国立研究開発法人日本医療研究開発機構納付金,1698.0
内閣府,雑収入,諸収入,特別会計受入金,自動車安全特別会計受入金,142570.0
内閣府,雑収入,諸収入,許可及手数料,手数料,516553.0
内閣府,雑収入,諸収入,懲罰及没収金,交通反則者納金,5.3002937E7
内閣府,雑収入,諸収入,弁償及返納金,弁償及違約金,84402.0
内閣府,雑収入,諸収入,弁償及返納金,返納金,7494139.0
内閣府,雑収入,諸収入,物品売払収入,試験場製品等売払代,5964.0
内閣府,雑収入,諸収入,物品売払収入,不用物品売払代,207006.0
内閣府,雑収入,諸収入,雑入,労働保険料被保険者負担金,12607.0
内閣府,雑収入,諸収入,雑入,延滞金,3562.0
内閣府,雑収入,諸収入,雑入,雑収,53605.0
デジタル庁,雑収入,諸収入,弁償及返納金,弁償及違約金,1.0
デジタル庁,雑収入,諸収入,弁償及返納金,返納金,36.0
デジタル庁,雑収入,諸収入,雑入,労働保険料被保険者負担金,388.0
デジタル庁,雑収入,諸収入,雑入,延滞金,1.0
総務省,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,56982.0
総務省,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,70068.0
総務省,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,29246.0
総務省,雑収入,納付金,雑納付金,国立研究開発法人情報通信研究機構納付金,1040888.0
総務省,雑収入,納付金,雑納付金,独立行政法人統計センター納付金,337435.0
総務省,雑収入,諸収入,許可及手数料,手数料,955455.0
総務省,雑収入,諸収入,弁償及返納金,弁償及違約金,4700.0
総務省,雑収入,諸収入,弁償及返納金,返納金,3017237.0
総務省,雑収入,諸収入,物品売払収入,不用物品売払代,21739.0
総務省,雑収入,諸収入,電波利用料収入,電波利用料収入,7.4989656E7
総務省,雑収入,諸収入,特定基地局開設料収入,特定基地局開設料収入,3100000.0
総務省,雑収入,諸収入,雑入,労働保険料被保険者負担金,6638.0
総務省,雑収入,諸収入,雑入,延滞金,1387.0
総務省,雑収入,諸収入,雑入,雑収,997796.0
法務省,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,226826.0
法務省,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,304450.0
法務省,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,251475.0
法務省,雑収入,国有財産利用収入,利子収入,延納利子収入,1110.0
法務省,雑収入,諸収入,許可及手数料,手数料,4.7759504E7
法務省,雑収入,諸収入,懲罰及没収金,過料,1638983.0
法務省,雑収入,諸収入,懲罰及没収金,没収金,757626.0
法務省,雑収入,諸収入,懲罰及没収金,罰金及科料,3.7592798E7
法務省,雑収入,諸収入,弁償及返納金,弁償及違約金,466413.0
法務省,雑収入,諸収入,弁償及返納金,返納金,491024.0
法務省,雑収入,諸収入,物品売払収入,不用物品売払代,174726.0
法務省,雑収入,諸収入,矯正官署作業収入,刑務所作業収入,3525368.0
法務省,雑収入,諸収入,矯正官署作業収入,少年院職業指導収入,3772.0
法務省,雑収入,諸収入,雑入,労働保険料被保険者負担金,52311.0
法務省,雑収入,諸収入,雑入,小切手支払未済金収入,5879.0
法務省,雑収入,諸収入,雑入,延滞金,2247.0
法務省,雑収入,諸収入,雑入,期満後収入,177428.0
法務省,雑収入,諸収入,雑入,雑収,229281.0
外務省,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,79388.0
外務省,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,47599.0
外務省,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,9096.0
外務省,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,46358.0
外務省,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,455745.0
外務省,雑収入,国有財産利用収入,利子収入,預託金利子収入,20193.0
外務省,雑収入,諸収入,許可及手数料,手数料,2.3567921E7
